C,N,Vb,Vc,Fat,cellulose,Weightgain
-0.33989448,1.263965689,-0.650456143,-0.755704938,-0.282389923,-0.797875159,0.1138
-0.33989448,1.263965689,-0.650456143,0.064573623,4.197793241,-0.797875159,0.022
-0.33989448,1.263965689,0.150607531,0.064573623,-0.282389923,-0.797875159,0.1836
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604,0.0456
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653,0.1391
0.383166467,1.263965689,-0.739463218,-0.755704938,-0.282389923,-1.256414491,0.1349
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995,0.119
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653,0.104
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653,0.1059
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163,0.0805
-0.33989448,-0.915368399,-0.739463218,1.88741487,0.613646709,0.888530607,0.0763
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163,0.0597
0.383166467,0.018631924,0.150607531,0.064573623,0.613646709,-0.334240945,0.1246
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538,0.1776
-0.33989448,1.263965689,-0.650456143,-0.846847,-0.282389923,-0.797875159,0.0731
-1.062955428,-1.226701841,-0.739463218,-0.846847,-1.178426556,1.805609272,0.0406
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204,0.0912
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994,0.0584
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159,0.2151
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995,0.0283
-0.33989448,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.2062
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538,0.21
-0.33989448,0.018631924,1.930749029,-0.846847,-0.73040824,0.124298387,0.1377
0.383166467,1.263965689,-0.739463218,-0.755704938,-0.282389923,-1.256414491,0.1527
1.829288363,1.263965689,1.930749029,1.88741487,1.509683342,-2.575988791,0.0406
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994,0.0554
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053,0.1168
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995,0.1153
0.383166467,1.263965689,-0.739463218,-0.755704938,-0.282389923,-1.256414491,0.1044
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163,0.1287
1.829288363,0.018631924,-0.294427843,-0.755704938,-1.178426556,-1.281888898,0.0933
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497,0.1511
