C,N,Vb,Vc,Fat,cellulose,Weightgain
40,20,0.5,0.1,0,39.4,0.1007
10,10,0.5,0.5,5,79,0.1498
5,5,0.1,0.1,2.5,89.8,0.1326
40,5,1,0,5,54,0.0745
40,20,0.5,0.1,0,39.4,0.0562
0,5,0.5,1,15,93.5,0.0444
5,40,0.5,0,10,54.5,0.1796
40,5,1,0,5,54,0.045
20,40,0,0.1,5,39.9,0.1054
10,20,3,0,2.5,67,0.0914
10,40,1,1,5,48.9,0.1887
20,40,0,0.1,5,39.9,0.1665
10,40,0.1,1,15,48.9,0.0265
40,10,0,1,2.5,49,0.1023
0,0,0,0,0,100,0.0436
10,40,0.1,0.1,5,48.9,0.1529
0,20,0.1,3,5,76.9,0.1694
0,5,0.5,1,15,93.5,0.0587
5,40,0.5,0,10,54.5,0.1466
20,5,3,0.5,0,71.5,0.0964
10,40,0.1,0.5,5,48.9,0.1754
0,5,0.5,1,15,93.5,0.0674
40,5,1,0,5,54,0.059
40,40,3,3,15,14,0.0313
5,20,0,0.5,15,74.5,0.1904
40,40,3,3,15,14,0.0431
10,40,0,1,5,48.9,0.0992
5,40,0.5,0,10,54.5,0.1379
10,40,0,1,5,48.9,0.1134
0,10,3,0.1,10,86.9,0.1619
10,5,0,3,10,82,0.0976
40,40,3,3,15,14,0.0289
20,40,0,0.1,5,39.9,0.1527
10,20,3,0,2.5,67,0.175
10,40,0.1,1,10,48.9,0.1346
30,40,0.1,0.5,5,48.9,0.1021
0,40,0.1,0.5,5,48.9,0.0604
40,20,0.5,0.1,0,39.4,0.1333
20,20,1,1,10,58,0.1173
10,20,3,0,2.5,67,0.1524
40,20,0.5,0.1,0,39.4,0.1171
5,40,0.5,0,10,54.5,0.1711
20,10,0.1,0,15,69.9,0.1219
10,40,0.1,0,5,48.9,0.0659
40,0,0.1,0.5,10,59.4,0.0885
20,40,0.1,0.5,5,48.9,0.1904
20,0,0.5,3,2.5,76.5,0.0659
20,0,0.5,3,2.5,76.5,0.0196
40,5,1,0,5,54,0.0546
20,40,0,0.1,5,39.9,0.1114
20,40,0.1,0.5,5,48.9,0.1505
0,20,0.1,3,5,76.9,0.1387
0,40,0.1,0.5,5,48.9,0.0566
20,40,0.1,0.5,5,48.9,0.1351
5,5,0.1,0.1,2.5,89.8,0.1369
10,40,0.1,1,30,48.9,0.0304
0,40,0.1,0.5,5,48.9,0.0496
20,5,3,0.5,0,71.5,0.0519
0,0,0,0,0,100,0.029
20,20,1,1,10,58,0.1331
0,40,0.1,0.5,5,48.9,0.0755
10,40,0.1,1,30,48.9,0.0447
10,40,0.1,1,0,48.9,0.1589
5,10,1,3,0,81,0.1316
5,10,1,3,0,81,0.1124
0,0,0,0,0,100,0.0366
10,0,1,0.1,15,88.9,0.0228
0,10,3,0.1,10,86.9,0.1422
40,5,1,0,5,54,0.0734
40,40,3,3,15,14,0.0252
10,40,0.1,1,15,48.9,0.0431
20,10,0.1,0,15,69.9,0.1556
5,0,3,1,5,91,0.0212
10,0,1,0.1,15,88.9,0.0416
5,20,0,0.5,15,74.5,0.1971
10,0,1,0.1,15,88.9,0.0315
0,40,1,0.5,2.5,58.5,0.1404
0,40,1,0.5,2.5,58.5,0.2123
5,40,0.5,0,10,54.5,0.1332
10,10,0.5,0.5,5,79,0.1007
20,10,0.1,0,15,69.9,0.1262
10,40,0.1,1,0,48.9,0.146
5,40,0.5,0,10,54.5,0.2169
40,10,0,1,2.5,49,0.0558
0,40,0.1,0.5,5,48.9,0.0747
10,0,1,0.1,15,88.9,0.0566
10,5,0,3,10,82,0.0743
10,40,0.1,1,10,48.9,0.1260 
10,40,0.1,1,0,48.9,0.1602
10,40,0.1,5,5,48.9,0.1256
10,40,0.1,1,5,48.9,0.2153
10,5,0,3,10,82,0.1297
10,40,0.1,1,0,48.9,0.2059
10,40,0.1,0.5,5,48.9,0.1845
10,40,0.1,0.5,5,48.9,0.1762
40,10,0,1,2.5,49,0.0574
10,40,0.1,1,10,48.9,0.1152
20,20,1,1,10,58,0.0479
20,20,1,1,10,58,0.072
10,40,5,1,5,48.9,0.1489
0,0,0,0,0,100,0.063
20,5,3,0.5,0,71.5,0.0964
5,5,0.1,0.1,2.5,89.8,0.1131
10,10,0.5,0.5,5,79,0.1443
10,40,0.1,1,0,48.9,0.1585
10,40,0.1,0.5,5,48.9,0.1756
40,20,0.5,0.1,0,39.4,0.0621
20,40,0.1,0.5,5,48.9,0.1844
0,5,0.5,1,15,93.5,0.1007
0,5,0.5,1,15,93.5,0.0752
40,10,0,1,2.5,49,0.0985
10,40,1,1,5,48.9,0.1881
0,0,0,0,0,100,0.0503
20,5,3,0.5,0,71.5,0.0763
0,40,1,0.5,2.5,58.5,0.0898
10,0,1,0.1,15,88.9,0.0536
10,40,0.1,0.5,5,48.9,0.1714
0,5,0.5,1,15,93.5,0.1033
10,40,0.1,1,0,48.9,0.2059
60,40,0.1,0.5,5,48.9,0.0449
10,5,0,3,10,82,0.1181
10,40,0.1,5,5,48.9,0.1216
0,0,0,0,0,100,0.0691
10,40,0.1,0,5,48.9,0.0678
20,0,0.5,3,2.5,76.5,0.0308
5,40,0.5,0,10,54.5,0.1792
0,20,0.1,3,5,76.9,0.1319
40,40,3,3,15,14,0.0635
10,40,0.1,0.5,5,48.9,0.1681
20,0,0.5,3,2.5,76.5,0.0577
10,40,0.1,1,5,48.9,0.1985
40,40,3,3,15,14,0.0422
10,40,5,1,5,48.9,0.1275
0,40,1,0.5,2.5,58.5,0.1961
0,20,0.1,3,5,76.9,0.1642
10,5,0,3,10,82,0.0307
10,40,0.1,1,0,48.9,0.1297
20,0,0.5,3,2.5,76.5,0.0367
40,10,0,1,2.5,49,0.0791
5,20,0,0.5,15,74.5,0.1599
5,5,0.1,0.1,2.5,89.8,0.1459
20,0,0.5,3,2.5,76.5,0.0164
10,40,0.1,0.1,5,48.9,0.115
20,40,0.1,0.5,5,48.9,0.1625
20,40,0,0.1,5,39.9,0.1409
